post_date,hour_utc,phase,weekend_flag,market_closed,intensity,ticker,ticker_name,indices,sector,n_peers,track,is_targeted_action,has_action_verbs,execution_window,summary,macro_link,label_eod,label_eod_soft,label_1mo_soft,hit_30m,hit_1h,hit_1mo,split
2025-01-06,12.4,premarket,0,1,6,TSLA,Tesla,SPY QQQ,XLY,4,micro,1,0,Monday_Open_Shock,Elon Musk praises Trump,Pro-Trump sentiment may boost TSLA,0,0,0,,,0,train
2025-01-29,2.07,premarket,0,1,8,TSLA,Tesla,SPY QQQ,XLY,4,micro,1,0,Noise_Zone,Elon Musk to rescue astronauts,showcases Tesla's tech capability,0,0,0,,,0,train
2025-02-17,15.78,regular,0,0,6,AMZN,Amazon,SPY QQQ DIA,XLY,4,micro,1,0,Regular_Hours,Amazon mentioned as book retailer,increased book sales,0,0,0,,,0,train
2025-02-19,0.68,premarket,0,1,6,TSLA,Tesla,SPY QQQ,XLY,4,micro,1,0,Noise_Zone,Elon Musk interview tonight,Positive publicity,1,1,0,,,0,train
2025-02-24,12.27,premarket,0,1,9,AAPL,Apple,SPY QQQ DIA,XLK,4,micro,1,1,Monday_Open_Shock,Apple invests $500B in US,boosts US economy,1,1,0,,,0,train
2025-02-24,16.82,regular,0,0,4,TSLA,Tesla,SPY QQQ,XLY,4,micro,1,0,Regular_Hours,Musk implies gov't spending cut,less gov't spending may hurt TSLA subsidies,-1,1,1,,,1,train
2025-02-26,11.27,premarket,0,1,8,TSLA,Tesla,SPY QQQ,XLY,4,micro,1,0,Noise_Zone,Trump endorses Elon Musk,Boosts Tesla's public image,0,0,0,,,0,train
2025-02-26,13.02,premarket,0,1,6,AAPL,Apple,SPY QQQ DIA,XLK,4,micro,1,0,Noise_Zone,criticizes Apple's DEI rules,negative sentiment may hurt brand,-1,1,1,,,1,train
2025-03-11,4.23,premarket,0,1,9,TSLA,Tesla,SPY QQQ,XLY,4,micro,1,0,Noise_Zone,Elon Musk/Tesla praised,Boycott backlash,1,1,1,,,1,train
2025-03-12,20.08,afterhours,0,1,6,GS,Goldman Sachs,SPY DIA,XLF,4,micro,1,0,Noise_Zone,GS CEO praises administration's engagement,Pro-business stance benefits GS,0,0,0,,,0,train
2025-03-12,20.38,afterhours,0,1,8,AAPL,Apple,SPY QQQ DIA,XLK,4,micro,1,1,Noise_Zone,Apple invests $500B in US,domestic investment boost,0,0,0,,,0,train
2025-03-17,5.82,premarket,0,1,6,TSLA,Tesla,SPY QQQ,XLY,4,micro,1,0,Monday_Open_Shock,Astronauts thank Musk,Positive PR,0,0,1,,,1,train
2025-03-19,1.72,premarket,0,1,8,TSLA,Tesla,SPY QQQ,XLY,4,micro,1,0,Noise_Zone,Elon Musk praised,positive sentiment boosts TSLA,1,1,1,,,1,train
