ticker,session_date,open,high,low,close,volume
XLK,2024-01-02T00:00:00Z,50.14,50.34,49.24,49.44,2764005
XLK,2024-01-03T00:00:00Z,49.81,50.34,49.61,50.14,3038128
XLK,2024-01-04T00:00:00Z,49.92,50.61,49.72,50.41,2272185
XLK,2024-01-05T00:00:00Z,50.55,50.75,50.25,50.45,4739895
XLK,2024-01-08T00:00:00Z,50.6,50.8,50.07,50.27,2182113
XLK,2024-01-09T00:00:00Z,50.31,50.68,50.11,50.48,4352937
XLK,2024-01-10T00:00:00Z,50.48,51.8,50.28,51.59,3957706
XLK,2024-01-11T00:00:00Z,51.71,51.92,50.47,50.67,2300853
XLK,2024-01-12T00:00:00Z,50.72,51.04,50.52,50.84,4567145
XLK,2024-01-16T00:00:00Z,50.77,50.97,50.04,50.24,1422371
XLK,2024-01-17T00:00:00Z,50.16,50.71,49.96,50.51,3686130
XLK,2024-01-18T00:00:00Z,50.85,51.05,49.96,50.16,3000724
XLK,2024-01-19T00:00:00Z,49.99,50.4,49.79,50.2,1261219
XLK,2024-01-22T00:00:00Z,50.26,50.46,49.46,49.66,1058895
XLK,2024-01-23T00:00:00Z,49.9,50.63,49.7,50.43,3979018
XLK,2024-01-24T00:00:00Z,50.53,50.73,49.66,49.86,1004793
XLK,2024-01-25T00:00:00Z,49.65,49.85,48.85,49.05,2397270
XLK,2024-01-26T00:00:00Z,49.05,49.68,48.85,49.48,4651020
XLK,2024-01-29T00:00:00Z,49.79,50.42,49.59,50.22,1929893
XLK,2024-01-30T00:00:00Z,50.25,51.77,50.05,51.56,4368778
XLK,2024-01-31T00:00:00Z,51.49,51.7,51.22,51.43,2342406
XLK,2024-02-01T00:00:00Z,51.81,52.02,50.32,50.52,3052217
XLK,2024-02-02T00:00:00Z,50.67,51.28,50.47,51.08,3963533
XLK,2024-02-05T00:00:00Z,51.18,51.72,50.98,51.51,4868195
XLK,2024-02-06T00:00:00Z,51.12,51.32,50.59,50.79,3529943
XLK,2024-02-07T00:00:00Z,50.67,50.87,50.35,50.55,1384332
XLK,2024-02-08T00:00:00Z,50.43,50.63,49.95,50.15,3414455
XLK,2024-02-09T00:00:00Z,50.15,50.67,49.95,50.47,4445483
XLK,2024-02-12T00:00:00Z,50.55,51.39,50.35,51.19,3754229
XLK,2024-02-13T00:00:00Z,51.19,51.59,50.99,51.38,3846774
XLK,2024-02-14T00:00:00Z,51.4,51.61,50.15,50.35,4872940
XLK,2024-02-15T00:00:00Z,50.41,50.66,50.21,50.46,3933172
XLK,2024-02-16T00:00:00Z,50.63,50.83,50.14,50.34,2641214
XLK,2024-02-20T00:00:00Z,50.44,50.64,49.72,49.92,3188546
XLK,2024-02-21T00:00:00Z,50.03,50.23,48.93,49.13,4754065
XLK,2024-02-22T00:00:00Z,49.01,49.21,47.99,48.18,2759188
XLK,2024-02-23T00:00:00Z,48.04,48.23,47.6,47.79,3769269
XLK,2024-02-26T00:00:00Z,47.65,47.84,46.89,47.08,4327446
XLK,2024-02-27T00:00:00Z,47.0,47.52,46.81,47.33,1483811
XLK,2024-02-28T00:00:00Z,47.13,47.38,46.94,47.19,4544512
XLK,2024-02-29T00:00:00Z,47.2,47.47,47.01,47.28,2136815
XLE,2024-01-02T00:00:00Z,60.09,60.61,59.85,60.37,4332722
XLE,2024-01-03T00:00:00Z,60.46,61.26,60.22,61.02,1260854
XLE,2024-01-04T00:00:00Z,61.1,61.55,60.86,61.3,3926242
XLE,2024-01-05T00:00:00Z,61.37,62.73,61.12,62.48,3660054
XLE,2024-01-08T00:00:00Z,62.68,62.93,62.01,62.26,3854597
XLE,2024-01-09T00:00:00Z,62.35,62.74,62.1,62.49,1790712
XLE,2024-01-10T00:00:00Z,62.3,62.55,61.54,61.79,2640851
XLE,2024-01-11T00:00:00Z,62.08,62.97,61.83,62.72,1486732
XLE,2024-01-12T00:00:00Z,62.76,63.04,62.51,62.79,1775828
XLE,2024-01-16T00:00:00Z,62.75,63.0,61.8,62.05,4049910
XLE,2024-01-17T00:00:00Z,62.19,62.44,60.56,60.8,1095557
XLE,2024-01-18T00:00:00Z,60.56,60.8,60.09,60.33,4506029
XLE,2024-01-19T00:00:00Z,60.32,60.99,60.08,60.75,3713403
XLE,2024-01-22T00:00:00Z,60.69,61.56,60.45,61.31,1256030
XLE,2024-01-23T00:00:00Z,61.26,61.51,61.01,61.26,1423294
XLE,2024-01-24T00:00:00Z,61.2,61.44,60.38,60.62,2091077
XLE,2024-01-25T00:00:00Z,60.43,61.43,60.19,61.19,4516196
XLE,2024-01-26T00:00:00Z,61.38,61.63,60.68,60.92,3926353
XLE,2024-01-29T00:00:00Z,60.7,60.94,59.06,59.3,1243483
XLE,2024-01-30T00:00:00Z,59.33,59.57,58.75,58.99,1679284
XLE,2024-01-31T00:00:00Z,58.92,59.53,58.68,59.29,3503124
XLE,2024-02-01T00:00:00Z,59.52,59.76,58.86,59.1,1055380
XLE,2024-02-02T00:00:00Z,58.92,59.27,58.68,59.03,3387031
XLE,2024-02-05T00:00:00Z,59.31,59.55,58.14,58.37,3721824
XLE,2024-02-06T00:00:00Z,58.16,59.27,57.93,59.03,2052487
XLE,2024-02-07T00:00:00Z,59.18,60.16,58.94,59.92,2920799
XLE,2024-02-08T00:00:00Z,59.91,60.15,59.13,59.37,1191664
XLE,2024-02-09T00:00:00Z,59.28,59.52,58.95,59.19,4196758
XLE,2024-02-12T00:00:00Z,59.35,59.59,58.95,59.19,2207447
XLE,2024-02-13T00:00:00Z,59.08,59.32,58.15,58.38,4741082
XLE,2024-02-14T00:00:00Z,58.22,58.45,57.39,57.62,4001525
XLE,2024-02-15T00:00:00Z,57.51,58.63,57.28,58.4,4476670
XLE,2024-02-16T00:00:00Z,58.39,58.62,58.13,58.36,1806604
XLE,2024-02-20T00:00:00Z,58.33,58.56,57.77,58.0,1935740
XLE,2024-02-21T00:00:00Z,57.89,58.12,57.23,57.46,4671791
XLE,2024-02-22T00:00:00Z,57.3,57.53,56.03,56.26,1132311
XLE,2024-02-23T00:00:00Z,56.05,56.78,55.83,56.55,2754169
XLE,2024-02-26T00:00:00Z,56.59,56.82,55.49,55.71,1694891
XLE,2024-02-27T00:00:00Z,55.59,55.95,55.37,55.73,1661385
XLE,2024-02-28T00:00:00Z,55.4,56.0,55.18,55.78,4808595
XLE,2024-02-29T00:00:00Z,55.52,55.74,54.95,55.17,4707241
XLF,2024-01-02T00:00:00Z,70.18,70.61,69.9,70.33,4513722
XLF,2024-01-03T00:00:00Z,69.95,70.49,69.67,70.21,4670084
XLF,2024-01-04T00:00:00Z,70.43,70.71,70.03,70.31,3300836
XLF,2024-01-05T00:00:00Z,70.61,70.89,70.33,70.61,1350086
XLF,2024-01-08T00:00:00Z,70.67,70.95,70.07,70.35,1061779
XLF,2024-01-09T00:00:00Z,70.09,70.98,69.81,70.7,2326143
XLF,2024-01-10T00:00:00Z,70.74,71.02,70.46,70.74,4165666
XLF,2024-01-11T00:00:00Z,71.13,71.43,70.85,71.15,3216043
XLF,2024-01-12T00:00:00Z,71.04,71.32,70.46,70.74,3551645
XLF,2024-01-16T00:00:00Z,70.48,70.76,69.04,69.32,2174332
XLF,2024-01-17T00:00:00Z,69.27,69.55,68.58,68.86,2994833
XLF,2024-01-18T00:00:00Z,68.99,69.27,68.17,68.44,1341187
XLF,2024-01-19T00:00:00Z,68.89,69.38,68.61,69.1,4354707
XLF,2024-01-22T00:00:00Z,69.21,69.49,67.61,67.88,1559606
XLF,2024-01-23T00:00:00Z,67.67,67.94,66.37,66.64,3705077
XLF,2024-01-24T00:00:00Z,66.41,67.78,66.14,67.51,2167735
XLF,2024-01-25T00:00:00Z,67.55,67.82,67.12,67.39,1862918
XLF,2024-01-26T00:00:00Z,67.28,67.55,66.23,66.5,4969919
XLF,2024-01-29T00:00:00Z,66.33,67.24,66.06,66.97,4562800
XLF,2024-01-30T00:00:00Z,67.29,67.85,67.02,67.58,3941569
XLF,2024-01-31T00:00:00Z,67.4,67.67,66.64,66.91,3701733
XLF,2024-02-01T00:00:00Z,67.15,67.42,66.33,66.6,2562165
XLF,2024-02-02T00:00:00Z,66.69,66.96,66.12,66.39,2575292
XLF,2024-02-05T00:00:00Z,66.37,66.64,66.05,66.32,1633437
XLF,2024-02-06T00:00:00Z,66.3,67.17,66.03,66.9,2540154
XLF,2024-02-07T00:00:00Z,66.86,67.13,65.99,66.26,3602725
XLF,2024-02-08T00:00:00Z,66.41,66.8,66.14,66.53,1626696
XLF,2024-02-09T00:00:00Z,66.69,66.96,66.36,66.63,2655877
XLF,2024-02-12T00:00:00Z,66.74,67.01,66.45,66.72,1481910
XLF,2024-02-13T00:00:00Z,66.57,66.91,66.3,66.64,1202401
XLF,2024-02-14T00:00:00Z,66.5,68.0,66.23,67.73,4056224
XLF,2024-02-15T00:00:00Z,67.92,68.49,67.65,68.22,2377915
XLF,2024-02-16T00:00:00Z,68.19,68.77,67.92,68.5,3352291
XLF,2024-02-20T00:00:00Z,68.7,68.97,68.01,68.28,4526773
XLF,2024-02-21T00:00:00Z,68.39,68.66,66.93,67.2,1521456
XLF,2024-02-22T00:00:00Z,66.89,67.3,66.62,67.03,2789018
XLF,2024-02-23T00:00:00Z,67.21,67.62,66.94,67.35,3881950
XLF,2024-02-26T00:00:00Z,67.71,67.98,66.5,66.77,3628746
XLF,2024-02-27T00:00:00Z,66.44,66.71,65.71,65.97,3679650
XLF,2024-02-28T00:00:00Z,66.28,67.18,66.01,66.91,1830641
XLF,2024-02-29T00:00:00Z,66.91,67.18,66.4,66.67,1032929
XLI,2024-01-02T00:00:00Z,80.25,81.16,79.93,80.84,2215596
XLI,2024-01-03T00:00:00Z,80.57,81.19,80.25,80.87,3453201
XLI,2024-01-04T00:00:00Z,80.83,81.15,79.96,80.28,1350909
XLI,2024-01-05T00:00:00Z,79.79,81.87,79.47,81.54,2094363
XLI,2024-01-08T00:00:00Z,81.41,81.74,80.84,81.16,1805075
XLI,2024-01-09T00:00:00Z,81.1,81.66,80.78,81.33,4622112
XLI,2024-01-10T00:00:00Z,81.36,81.69,80.89,81.21,3205430
XLI,2024-01-11T00:00:00Z,80.86,81.54,80.54,81.22,1498745
XLI,2024-01-12T00:00:00Z,81.03,81.36,80.71,81.04,3688537
XLI,2024-01-16T00:00:00Z,81.61,82.46,81.28,82.13,1905526
XLI,2024-01-17T00:00:00Z,82.05,82.38,81.45,81.78,2922702
XLI,2024-01-18T00:00:00Z,81.56,82.6,81.23,82.27,1634742
XLI,2024-01-19T00:00:00Z,82.53,83.54,82.2,83.21,3046406
XLI,2024-01-22T00:00:00Z,83.36,84.38,83.03,84.04,3851830
XLI,2024-01-23T00:00:00Z,83.77,84.58,83.43,84.24,3849267
XLI,2024-01-24T00:00:00Z,84.43,84.77,83.72,84.06,3090612
