post_id,tweet_date,entity,entity_name,stance,indices_used,sectors_used,peers_used,used_fallback,text,raw_eod,abn_idx_eod,abn_sec_eod,abn_peer_eod,band_eod,label_eod,raw_2d,abn_idx_2d,abn_sec_2d,abn_peer_2d,band_2d,label_2d,raw_3d,abn_idx_3d,abn_sec_3d,abn_peer_3d,band_3d,label_3d,raw_1w,abn_idx_1w,abn_sec_1w,abn_peer_1w,band_1w,label_1w,raw_2w,abn_idx_2w,abn_sec_2w,abn_peer_2w,band_2w,label_2w,raw_3w,abn_idx_3w,abn_sec_3w,abn_peer_3w,band_3w,label_3w,raw_1mo,abn_idx_1mo,abn_sec_1mo,abn_peer_1mo,band_1mo,label_1mo,abn_sec_30m,label_30m,abn_sec_1h,label_1h
114372126396548824,2025-04-20,AMD,AMD,positive,SPY QQQ,XLK SMH,AAPL MSFT NVDA AVGO INTC TSM,0,"HOPEFULLY RUSSIA AMD UKRAINE WILL MAKE A DEAL THIS WEEK. BOTH WILL THEN START TO DO BIG BUSINESS WITH THE UNITED STATES OF AMERICA, WHICH IS THRIVING, AND MAKE A FORTUNE!",-0.0053,0.0075,0.0026,0.0021,0.0353,NEUTRAL,0.0028,-0.0102,-0.0121,-0.0105,0.05,NEUTRAL,0.0508,0.0185,0.0026,-0.0046,0.0612,NEUTRAL,0.1236,0.0561,0.0134,0.0318,0.079,NEUTRAL,0.1486,0.0471,-0.0018,-0.0287,0.1117,NEUTRAL,0.1955,0.0974,0.031,0.0166,0.1368,NEUTRAL,0.3339,0.1676,0.0649,0.0553,0.1619,NEUTRAL,0.0,,0.0013,
114593895018014960,2025-05-30,TSLA,Tesla,neutral,SPY QQQ,XLY,AMZN HD MCD NKE,0,"I am having a Press Conference tomorrow at 1:30 P.M. EST, with Elon Musk, at the Oval Office. This will be his last day, but not really, because he will, always, be with us, helping all the way. Elon ",-0.0255,-0.0256,-0.0239,-0.0276,0.0148,NEUTRAL,-0.0361,-0.0429,-0.0368,-0.0444,0.021,NEUTRAL,-0.0316,-0.0453,-0.0377,-0.0433,0.0257,NEUTRAL,-0.1992,-0.2078,-0.1773,-0.2129,0.0332,NEUTRAL,-0.1024,-0.1287,-0.1004,-0.1184,0.0469,NEUTRAL,-0.0938,-0.107,-0.0777,-0.0664,0.0575,NEUTRAL,-0.1065,-0.1642,-0.1235,-0.1446,0.068,NEUTRAL,0.3435,,0.0076,
114776149269773065,2025-07-01,TSLA,Tesla,neutral,SPY QQQ,XLY,AMZN HD MCD NKE,0,"Elon Musk knew, long before he so strongly Endorsed me for President, that I was strongly against the EV Mandate. It is ridiculous, and was always a major part of my campaign. Electric cars are fine, ",0.0075,0.009,-0.0065,-0.0109,0.0224,NEUTRAL,0.0576,0.0533,0.0354,0.0436,0.0317,NEUTRAL,0.0566,0.0434,0.0289,0.0376,0.0388,NEUTRAL,-0.0022,-0.0078,-0.0134,-0.0062,0.0501,NEUTRAL,0.0413,0.0302,0.0235,0.0291,0.0709,NEUTRAL,0.1127,0.0921,0.0652,0.0832,0.0868,NEUTRAL,0.069,0.0376,0.032,0.0256,0.1027,NEUTRAL,-0.1508,,-0.0462,
114808616176041421,2025-07-06,TSLA,Tesla,positive,SPY QQQ,XLY,AMZN HD MCD NKE,0,"I am saddened to watch Elon Musk go completely “off the rails,” essentially becoming a TRAIN WRECK over the past five weeks. He even wants to start a Third Political Party, despite the fact that they ",0.0088,0.0123,0.0079,0.0088,0.0235,NEUTRAL,0.0221,0.0256,0.0245,0.035,0.0333,NEUTRAL,0.0155,0.0125,0.012,0.0184,0.0408,NEUTRAL,0.076,0.0752,0.0611,0.0727,0.0526,UP,0.1314,0.121,0.1131,0.142,0.0744,UP,0.0847,0.0621,0.0541,0.0715,0.0911,NEUTRAL,0.0614,0.0456,0.0594,0.0562,0.1078,NEUTRAL,-0.0499,,-0.063,
115272665190921190,2025-09-26,MSFT,Microsoft,neutral,SPY QQQ DIA,XLK,AAPL NVDA AMD AVGO,0,"Corrupt and Totally Trump Deranged Lisa Monaco (A purported pawn of Legal Lightweight Andrew Weissmann), was a senior National Security aide under Barrack Hussein Obama, and a Lawfare and Weaponizatio",0.0061,0.0071,0.0065,0.0024,0.005,NEUTRAL,0.0126,0.011,0.0075,0.0073,0.007,NEUTRAL,0.0161,0.0113,0.0011,0.0022,0.0086,NEUTRAL,0.0114,0.004,-0.0038,-0.0096,0.0111,NEUTRAL,-0.0011,0.0164,0.0063,0.0083,0.0158,NEUTRAL,0.0041,0.0027,-0.0122,-0.0235,0.0193,NEUTRAL,0.0391,0.0041,-0.027,-0.0303,0.0228,NEUTRAL,-0.0018,,-0.0024,
115686072737425841,2025-12-08,NVDA,NVIDIA,positive,SPY QQQ DIA,XLK SMH,AAPL MSFT AMD AVGO INTC TSM,0,"I have informed President Xi, of China, that the United States will allow NVIDIA to ship its H200 products to approved customers in China, and other Countries, under conditions that allow for continue",-0.0032,-0.0031,-0.0082,-0.0075,0.0121,NEUTRAL,-0.0096,-0.0165,-0.0239,-0.0116,0.0171,NEUTRAL,-0.025,-0.0361,-0.0323,-0.0256,0.021,NEUTRAL,-0.05,-0.0471,-0.0136,-0.0004,0.027,NEUTRAL,-0.0101,-0.0148,0.005,0.0166,0.0383,NEUTRAL,0.0107,0.0047,0.02,0.0327,0.0469,NEUTRAL,-0.0028,-0.0168,-0.0109,0.0428,0.0554,NEUTRAL,-0.0017,,-0.0015,
115686072737425841,2025-12-08,AMD,AMD,positive,SPY QQQ,XLK SMH,AAPL MSFT NVDA AVGO INTC TSM,0,"I have informed President Xi, of China, that the United States will allow NVIDIA to ship its H200 products to approved customers in China, and other Countries, under conditions that allow for continue",0.0026,0.0011,-0.0024,0.0012,0.0193,NEUTRAL,0.0017,-0.0052,-0.0126,-0.0,0.0272,NEUTRAL,0.0018,-0.0047,-0.0056,0.0078,0.0334,NEUTRAL,-0.0609,-0.0491,-0.0245,-0.0168,0.0431,NEUTRAL,-0.0276,-0.0279,-0.0124,-0.0048,0.0609,NEUTRAL,-0.0258,-0.0279,-0.0164,-0.015,0.0746,NEUTRAL,-0.074,-0.0788,-0.0821,-0.0614,0.0882,NEUTRAL,-0.0023,,0.0121,
115884759090137876,2026-01-12,MSFT,Microsoft,positive,SPY QQQ DIA,XLK,AAPL NVDA AMD AVGO,0,"Under Sleepy Joe Biden and the Radical Left Democrats, the average American Household’s monthly Utility bills went up MASSIVELY — over 30%! I never want Americans to pay higher Electricity bills becau",-0.0084,-0.0046,-0.0059,-0.0154,0.0042,NEUTRAL,-0.0322,-0.023,-0.0176,-0.0296,0.006,NEUTRAL,-0.038,-0.0328,-0.0285,-0.0425,0.0073,NEUTRAL,-0.0425,-0.0166,-0.0084,-0.0005,0.0095,NEUTRAL,0.0124,0.014,0.0043,0.0038,0.0134,NEUTRAL,-0.1337,-0.1231,-0.1012,-0.1419,0.0164,NEUTRAL,-0.1481,-0.1429,-0.1217,-0.1582,0.0194,NEUTRAL,-0.0762,,-0.015,
116442276577696798,2026-04-21,AAPL,Apple,positive,SPY QQQ DIA,XLK,MSFT NVDA AMD AVGO,0,"I have always been a big fan of Tim Cook, and likewise, Steve Jobs, but if Steve was not taken from the Planet Earth so young, and ran the company instead of Tim, the company would have done well, but",-0.0196,-0.0107,-0.0176,-0.0278,0.0069,NEUTRAL,0.0062,0.0039,-0.0138,-0.038,0.0098,NEUTRAL,0.0071,0.0093,0.0017,-0.0132,0.012,NEUTRAL,-0.0143,-0.0211,-0.0503,-0.0737,0.0154,NEUTRAL,0.0196,0.0086,-0.0259,0.0061,0.0218,NEUTRAL,0.079,0.0321,-0.0686,-0.0001,0.0268,NEUTRAL,0.1022,0.0659,-0.0155,0.0419,0.0317,NEUTRAL,-0.003,,-0.0199,
116490320065457761,2026-04-29,INTC,Intel,positive,SPY QQQ,SMH,NVDA AMD TSM AVGO,0,Intel Stock continues to rise. I’m very proud of that Company in that I am responsible for making the United States of America over 30 Billion Dollars in the last 90 days on that stock alone. There ar,-0.0117,-0.0163,-0.0157,-0.0118,0.0304,NEUTRAL,0.0421,0.0312,0.0319,0.0353,0.043,NEUTRAL,0.0019,-0.0061,-0.0022,0.0004,0.0526,NEUTRAL,0.1821,0.1458,0.0929,0.1429,0.068,UP,0.2583,0.2018,0.124,0.2179,0.0961,UP,0.2444,0.1898,0.1256,0.2073,0.1177,UP,0.1996,0.1155,0.0129,0.136,0.1393,NEUTRAL,-0.0312,,-0.0259,
