post_date,hour_utc,phase,weekend_flag,market_closed,intensity,scenario,n_instruments,is_targeted_action,has_action_verbs,execution_window,summary,macro_link,label_eod,hit_30m,hit_1h,hit_1mo,split
2025-01-01,21.03,afterhours,0,1,8,Trade Policy,4,0,0,Noise_Zone,Tariffs created wealth for the US,Tariffs impact trade balances,1,,,0,train
2025-01-06,14.25,regular,0,0,8,Trade Policy,3,0,0,Regular_Hours,Tariff policy won't be pared back,Trade tensions affect markets,1,,,0,train
2025-01-07,19.05,regular,0,0,6,Trade Policy,4,0,0,Regular_Hours,Author supports Trump's tariffs,Tariffs impact trade and economy,0,1,1,0,train
2025-01-15,17.02,regular,0,0,9,Geopolitics / Peace,2,0,0,Regular_Hours,Hostages in Middle East to be released,Reduced conflict risk,0,1,1,1,train
2025-01-16,19.97,regular,0,0,8,Geopolitics / Trade,4,0,1,Regular_Hours,New Under Secretary for Trade appointed,Trade policy affects agriculture exports,1,1,1,1,train
2025-01-18,1.17,weekend,1,1,8,Geopolitics / Defense,2,0,1,Monday_Open_Shock,New Under Secretary of Air Force announced,Defense policy shift,1,,,0,train
2025-01-23,14.38,regular,0,0,6,Energy Policy,4,0,0,Regular_Hours,Congressman stops windmill project off New Jersey coast,Reduced renewable energy investment,0,,,1,train
2025-01-26,18.47,weekend,1,1,10,Geopolitics / Trade War,5,0,1,Monday_Open_Shock,US imposes tariffs and sanctions on Colombia,"Trade war hurts Colombian economy, affects US imports",1,,,0,train
2025-02-01,15.72,weekend,1,1,8,Geopolitics / Immigration,3,1,0,Monday_Open_Shock,Venezuela agreed to take back its citizens and criminals,Immigration policy affects labor market and trade,1,,,0,train
2025-02-02,13.15,weekend,1,1,9,Trade War,4,1,0,Monday_Open_Shock,US to stop being ripped off by other countries,Protectionism and tariffs to reduce trade deficits,0,,,1,train
2025-02-03,15.68,regular,0,0,9,Geopolitics / Trade,4,1,1,Regular_Hours,"Mexico to send soldiers to US border, tariffs paused","Reduced trade tensions, potential border security cooperation",0,0,1,1,train
2025-02-03,23.67,afterhours,0,1,6,Geopolitics / Peace,1,1,1,Noise_Zone,New Pentagon spokesman announced,Defense sector may see increased stability,0,,,0,train
