post_id,tweet_text,tweet_date,primary_entity,match_tier,rel_reason,stance,stance_evidence,competitor_tickers,sector_etf,missing_bars,raw_1D,abn_1D,verdict_1D,raw_2D,abn_2D,verdict_2D,raw_3D,abn_3D,verdict_3D,raw_5D,abn_5D,verdict_5D,raw_10D,abn_10D,verdict_10D,raw_1mo,abn_1mo,verdict_1mo
113781393195053401,"“Had this election not been won by Donald Trump, civilization would be lost.” Elon Musk",2025-01-06,TSLA,direct,direct: 'elon musk',no_clear_stance,,,XLY,0,-0.0287,-0.0219,no_claim,-0.0681,-0.0421,no_claim,-0.0668,-0.0435,no_claim,-0.047,-0.0196,no_claim,0.0021,-0.0092,no_claim,-0.1064,-0.1101,no_claim
113781828670659948,"The story in the Washington Post, quoting so-called anonymous sources, which don't exist, incorrectly states that my tariff policy will be pared back. That is wrong. The Washington Post knows it's wro",2025-01-06,AMZN,indirect,indirect: 'washington post',negative,wrong,WMT TGT COST,XLY,0,0.0037,0.0104,opposite,-0.0206,0.0054,flat,-0.0205,0.0028,flat,-0.0367,-0.0093,flat,0.0173,0.006,flat,0.0414,0.0377,flat
113826686962325672,"RELEASE THE WATER, NEWSOM. WHAT IS WRONG WITH YOU? DJT",2025-01-14,DJT,direct,direct: 'djt',no_clear_stance,,,SPY,1,,,no_claim,,,no_claim,,,no_claim,,,no_claim,,,no_claim,,,no_claim
113847449027767807,"Coming up, THE MOST IMPORTANT WEEKEND, PLUS, IN AMERICAN HISTORY. ENJOY!  DJT",2025-01-18,DJT,direct,direct: 'djt',no_clear_stance,,,SPY,1,,,no_claim,,,no_claim,,,no_claim,,,no_claim,,,no_claim,,,no_claim
113898263726281638,THE USA HAS A LOT OF WINNING TO DO! DJT,2025-01-27,DJT,direct,direct: 'djt',no_clear_stance,,,SPY,1,,,no_claim,,,no_claim,,,no_claim,,,no_claim,,,no_claim,,,no_claim
113903630433895227,"Wow! In Nevada, a State I love and WON BIG in 2024, Republicans now lead Democrats in Voter Registration for the first time since 2007. Thank you to Chairman Michael McDonald, Governor Joe Lombardo, a",2025-01-28,MCD,direct,direct: 'mcdonald's',positive,thank|outstanding|historic,,XLY,0,-0.0043,-0.0084,opposite,-0.0078,-0.0091,opposite,-0.0071,-0.0182,opposite,-0.008,-0.0013,flat,0.0548,0.0734,match,0.0406,0.1061,match
113909188940119917,I have just asked Elon Musk and @SpaceX to “go get” the 2 brave astronauts who have been virtually abandoned in space by the Biden Administration. They have been waiting for many months on @Space Stat,2025-01-29,TSLA,direct,direct: 'elon musk',no_clear_stance,,,XLY,0,-0.0155,-0.0118,no_claim,0.0128,0.0067,no_claim,0.0238,0.0221,no_claim,-0.0076,-0.0076,no_claim,-0.1688,-0.1342,no_claim,-0.2866,-0.2031,no_claim
113928759847321475,"Ellie Cohanim on Israel, and Phill Flynn on Tariffs, were GREAT on Fox & Friends this morning. Real “Pros!” DJT",2025-02-01,DJT,direct,direct: 'djt',no_clear_stance,,,SPY,1,,,no_claim,,,no_claim,,,no_claim,,,no_claim,,,no_claim,,,no_claim
113946130240319294,"20 years ago, Autism in children was 1 in 10,000. NOW IT’S 1 in 34. WOW! Something’s really wrong. We need BOBBY!!!  Thank You! DJT",2025-02-04,DJT,direct,direct: 'djt',no_clear_stance,,,SPY,1,,,no_claim,,,no_claim,,,no_claim,,,no_claim,,,no_claim,,,no_claim
113962698098343227,BALANCED BUDGET!!! DJT,2025-02-07,DJT,direct,direct: 'djt',no_clear_stance,,,SPY,1,,,no_claim,,,no_claim,,,no_claim,,,no_claim,,,no_claim,,,no_claim
113963121926787410,"Eugene Robinson of the Washington Post is INCOMPETENT! So sad to see him trying to justify the waste, fraud, and corruption at USAID with his pathetic Radical Left SPIN. He should be fired immediately",2025-02-07,AMZN,indirect,indirect: 'washington post',negative,incompetent,WMT TGT COST,XLY,0,0.0112,0.0118,opposite,0.0096,0.0215,opposite,-0.007,0.0051,flat,-0.0081,-0.0104,flat,-0.0774,-0.038,match,-0.1473,-0.0144,flat
114020008419550279,"Who is running the Country right now? In his new book, “American Leviathan: The Birth of the Administrative State and Progressive Authoritarianism,” Ned Ryun reveals the History of the Deep State, whi",2025-02-17,AMZN,direct,direct: 'amazon',no_clear_stance,,WMT TGT COST,XLY,0,-0.0095,-0.007,no_claim,-0.0096,-0.0065,no_claim,-0.026,-0.0143,no_claim,-0.0704,-0.0291,no_claim,-0.104,-0.0381,no_claim,-0.1573,-0.01,no_claim
114027770237892482,“TUNE IN: Exclusive Hannity Interview with President Trump and Elon Musk Tonight at 9PM ET” https://hannity.com/media-room/tune-in-exclusive-hannity-interview-with-president-trump-and-elon-musk-tonigh,2025-02-19,TSLA,direct,direct: 'elon musk',no_clear_stance,,,XLY,0,0.0185,0.0144,no_claim,0.0011,0.0057,no_claim,-0.0458,-0.015,no_claim,-0.1446,-0.1052,no_claim,-0.2315,-0.1557,no_claim,-0.3337,-0.209,no_claim
114033427089061668,"Elon Musk: “The President’s instincts on Ukraine are absolutely right. It is really sad that so many parents have lost their sons, and so many sons their fathers in this pointless war.”",2025-02-20,TSLA,direct,direct: 'elon musk',no_clear_stance,,,XLY,0,-0.0197,-0.0138,no_claim,-0.0656,-0.0335,no_claim,-0.0857,-0.05,no_claim,-0.1956,-0.1509,no_claim,-0.228,-0.165,no_claim,-0.3465,-0.2185,no_claim
114036638899167319,BALANCE BUDGET NOW??? LETS GIVE IT A SHOT. LOTS OF MONEY COMING IN FROM TARIFFS. DO IT! DJT,2025-02-20,DJT,direct,direct: 'djt',no_clear_stance,,,SPY,1,,,no_claim,,,no_claim,,,no_claim,,,no_claim,,,no_claim,,,no_claim
114058814859681967,"APPLE HAS JUST ANNOUNCED A RECORD 500 BILLION DOLLAR INVESTMENT IN THE UNITED STATES OF AMERICA. THE REASON, FAITH IN WHAT WE ARE DOING, WITHOUT WITCH, THEY WOULD’NT BE INVESTING TEN CENTS. THANK YOU ",2025-02-24,AAPL,direct,direct: 'apple',positive,record|thank,,XLK,0,0.0089,0.027,match,0.0086,0.0394,match,-0.0187,0.0016,flat,-0.0126,0.0309,match,-0.0239,0.0492,match,-0.0988,-0.0234,flat
114059004456970017,"APPLE HAS JUST ANNOUNCED A RECORD 500 BILLION DOLLAR INVESTMENT IN THE UNITED STATES OF AMERICA. THE REASON, FAITH IN WHAT WE ARE DOING, WITHOUT WHICH, THEY WOULD’NT BE INVESTING TEN CENTS. THANK YOU ",2025-02-24,AAPL,direct,direct: 'apple',positive,record|thank,,XLK,0,0.0089,0.027,match,0.0086,0.0394,match,-0.0187,0.0016,flat,-0.0126,0.0309,match,-0.0239,0.0492,match,-0.0988,-0.0234,flat
114059888811732826,"Elon Musk: ""7 out of 10 voters want $1T removed from federal spending.""",2025-02-24,TSLA,direct,direct: 'elon musk',no_clear_stance,,,XLY,0,-0.0741,-0.0694,no_claim,-0.1108,-0.102,no_claim,-0.1378,-0.1147,no_claim,-0.1296,-0.1044,no_claim,-0.3207,-0.2328,no_claim,-0.1189,-0.0685,no_claim
114069904344598839,https://truthsocial.com/@realDonaldTrump/114057798709965917   I thought it would be appropriate to take out my thank you TRUTH to Elon Musk after our (ALL OF US!) big Election Win. Nothing has changed,2025-02-26,TSLA,direct,direct: 'elon musk',positive,thank,,XLY,0,-0.0425,-0.0317,opposite,-0.0716,-0.0466,opposite,-0.0353,-0.0265,flat,-0.1043,-0.06,opposite,-0.2408,-0.1421,opposite,-0.1042,-0.0395,flat
114069904344598839,https://truthsocial.com/@realDonaldTrump/114057798709965917   I thought it would be appropriate to take out my thank you TRUTH to Elon Musk after our (ALL OF US!) big Election Win. Nothing has changed,2025-02-26,DJT,direct,direct: 'djt',no_clear_stance,,,SPY,1,,,no_claim,,,no_claim,,,no_claim,,,no_claim,,,no_claim,,,no_claim
114070190082477156,"Congratulations to the U.S. Dockworkers on your great new deal. Also, thank you for your overwhelming support in the Presidential Election. Slowing down automation, just a little bit, is an OK thing t",2025-02-26,DJT,direct,direct: 'djt',no_clear_stance,,,SPY,1,,,no_claim,,,no_claim,,,no_claim,,,no_claim,,,no_claim,,,no_claim
114070315739588346,"APPLE SHOULD GET RID OF DEI RULES, NOT JUST MAKE ADJUSTMENTS TO THEM. DEI WAS A HOAX THAT HAS BEEN VERY BAD FOR OUR COUNTRY. DEI IS GONE!!!",2025-02-26,AAPL,direct,direct: 'apple',no_clear_stance,,,XLK,0,-0.0162,-0.0173,no_claim,-0.0288,0.0066,no_claim,-0.0102,0.0124,no_claim,-0.0344,0.0187,no_claim,-0.0961,0.0007,no_claim,-0.0933,-0.0201,no_claim
114070572392915582,"Big First Step Win for Speaker Mike Johnson, and AMERICA. Now let’s start to BALANCE THE BUDGET. IT CAN BE DONE!!! DJT",2025-02-26,DJT,direct,direct: 'djt',no_clear_stance,,,SPY,1,,,no_claim,,,no_claim,,,no_claim,,,no_claim,,,no_claim,,,no_claim
114071853044146528,Elon Musk: “President Trump has put together the best Cabinet ever...And I do not give false praise. This is an incredible group of people. I don't think such a talented team has ever been assembled…”,2025-02-26,TSLA,direct,direct: 'elon musk',positive,best,,XLY,0,-0.0316,-0.0127,flat,0.0063,0.0089,flat,-0.0224,-0.0013,flat,-0.0414,-0.0177,flat,-0.1479,-0.0601,opposite,-0.0619,-0.0036,flat
114129217070412961,ELON AND MARCO HAVE A GREAT RELATIONSHIP. ANY STATEMENT OTHER THAN THAT IS FAKE NEWS!!! DJT,2025-03-08,DJT,direct,direct: 'djt',no_clear_stance,,,SPY,1,,,no_claim,,,no_claim,,,no_claim,,,no_claim,,,no_claim,,,no_claim
114135672415463032,Great job by Congressman Brian Mast on FoxNews. He’s got it together!!! DJT,2025-03-10,DJT,direct,direct: 'djt',no_clear_stance,,,SPY,1,,,no_claim,,,no_claim,,,no_claim,,,no_claim,,,no_claim,,,no_claim
114140437287253298,"Back by popular demand, for the first time in 20 years, the Emmy nominated ORIGINAL APPRENTICE STARRING PRESIDENT DONALD TRUMP is back!! Watch Season 1 of The Apprentice, now streaming on Prime Video.",2025-03-10,AMZN,indirect,indirect: 'prime video',no_clear_stance,,WMT TGT COST,XLY,0,0.0139,0.0231,no_claim,0.0257,0.0292,no_claim,-0.0001,0.0283,no_claim,0.0095,0.0156,no_claim,0.0483,0.0148,no_claim,-0.1199,-0.0119,no_claim
114141854575248527,"To Republicans, Conservatives, and all great Americans, Elon Musk is “putting it on the line” in order to help our Nation, and he is doing a FANTASTIC JOB! But the Radical Left Lunatics, as they often",2025-03-11,TSLA,direct,direct: 'tesla',positive,great|fantastic|great|great,,XLY,0,0.0234,0.0326,match,0.1011,0.1046,match,0.0682,0.0966,match,0.0564,0.0625,match,0.2356,0.2021,match,-0.0153,0.0926,flat
114145611018414576,"Elon Musk: “As a function of the great policies of President Trump and his administration, and as an act of faith in America, Tesla is going to DOUBLE vehicle output in the United States within the ne",2025-03-11,TSLA,direct,direct: 'tesla',positive,great,,XLY,0,0.0035,0.0148,flat,-0.0265,0.0095,flat,0.0112,0.0266,flat,-0.0886,-0.0571,flat,0.1655,0.132,match,0.101,0.1196,match
114145621000876629,The Tesla Model S — BEAUTIFUL!,2025-03-11,TSLA,direct,direct: 'tesla',positive,beautiful,,XLY,0,0.0035,0.0148,flat,-0.0265,0.0095,flat,0.0112,0.0266,flat,-0.0886,-0.0571,flat,0.1655,0.132,match,0.101,0.1196,match
114145974393951612,"I am pleased to announce that Dearborn Heights Mayor Bill Bazzi will be the next United States Ambassador to the Republic of Tunisia. Bazzi is a decorated U.S. Marine, who honorably served our Country",2025-03-11,BA,direct,direct: 'boeing',no_clear_stance,,,ITA,0,0.0115,0.0139,no_claim,0.0148,0.0199,no_claim,0.0306,0.0203,no_claim,0.0291,0.0071,no_claim,0.163,0.0957,no_claim,0.0243,0.0217,no_claim
114146381629892800,"Big WIN for Republicans, and America, tonight. Congratulations to ALL!!! DJT",2025-03-11,DJT,direct,direct: 'djt',no_clear_stance,,,SPY,1,,,no_claim,,,no_claim,,,no_claim,,,no_claim,,,no_claim,,,no_claim
